Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
CFB2001,0.0998162199855787,0.0874141002880575,0.0416159564517216,0.135212316550722,0.13478886394942,0,0.0339322560593288,0.0699499852498964,0,0,0.201737035736282,0,0,0.0932535930600433,0,0.163258980268916,0,0.0351330620679296,0.0710989343152152,0,0,3.42087062214237,0,0.900878534394451,0.443652551156961,4.58808192612548
CFB2007,0.0588064216251323,0.0702374841090008,0.0547549867263926,0.264715911580518,0.21385082970121,0.00830624733445698,0,0,0.199031539365626,0,0.0480543973531624,0.0539188430505919,0.257293656401946,0,0,0.0758091638038137,0,0.00113239440746648,0.12117766845715,0,0,2.06844847591054,0,0.924682681946228,0.409782589420679,3.49553801982701
CFB2009,0.0502398892178604,0.0992421148586308,0.0479295361438937,0.528292626368245,0.0340912339732695,0,0.0231074435827486,0,0.259999124150792,0,0.158675922178008,0.0361820701271203,0.180924002305548,0,0,0.12248990732517,0,0,0.148059765822007,0,0,2.75717226312644,0,0.948920820626956,0.353625609644272,4.44640589917974
CFB2013,0,0.102190627146832,0.040604714164822,0.359621725865566,0.295194934377952,0,0,0.00650085711642516,0.208562349025012,0,0.104362727634038,0.0723122662989377,0.245123964414865,0.0515845882999165,0,0.0933032803099684,0,0,0.222654445491169,0,0,3.93913270837924,0,0.919691189404873,0.401789753042482,5.74114918852475
CFB2022,0.126862381226423,0.0838166454408603,0.0741775851666863,0.17720735932153,0.114294992294593,0,0.00291087516709603,0,0.17008018482722,0,0.12011711982096,0.0362454040412255,0.136077550151373,0,0,0.108109186510097,0,0.00598090486862088,0.160569998898715,0,0.0386647808374189,2.07044398364495,0,0.902120507213933,0.450964337703332,3.42555895221777
CFB2039,0.103849974478746,0.0360894898692854,0.0401822094623528,0.270327607269059,0.00887635884091469,0.214499452300405,0,0,0.208137046288406,0,0.100309944436424,0.00949104120364386,0.293438040753444,0.0173287877129885,0,0.0986623301708913,0,0.00294762516802605,0.121466979258072,0,0,2.09201768807531,0,0.887981710660732,0.477440038711844,3.61762457528797
CFB2044,0.110334393865361,0.0441051831046481,0.0144998459816349,0.34288640536832,0.218038399436063,0.1454134541839,0,0,0.206747008978454,0,0.147552808729647,0.0373779076722098,0.401875559038491,0,0,0.0856696506816513,0,0.00298358477681441,0.0867472591247639,0,0,1.2365731973068,0,0.914812343761686,0.499115827208708,3.08080465824876
CFB2045,0.225082299099078,0,0.0257858075976389,0.201587750812208,0.176852969099885,0.175549569019301,0,0,0.206463842695119,0,0.0707766708268137,0.0547854113552805,0.134008038852588,0,0,0.0929709763867751,0,0.0172662706289433,0.115059031686966,0,0,1.96962358658477,0,0.950014922351741,0.374973080782958,3.46581222464537
CFB2049,0.167922055384133,0.0692834633051557,0.0754429336708805,0.207358044986805,0.110010101047699,0,0.0239806242661794,0,0.257178807361033,0,0.234241271086872,0,0,0,0,0.127697166636692,0,0.028642947425238,0.0625571974540816,0,0,3.68258370741394,0,0.935193056002894,0.365379318310012,5.04689832003871
CFB2058,0.0837189832946722,0.0377645826129257,0.0293048618954776,0.608998748393854,0.151944200098634,0,0.0738705595252662,0,0.173404920723392,0.18641939309781,0.0845956900155955,0.156669711439022,0.107886419889664,0,0,0.0898212471789487,0,0,0.193986445598647,0,0,2.4660407007793,0,0.922548317622542,0.431399101876331,4.4444264645432
CFB2059,0.0338035449770852,0.0669579252719464,0.0311167994536964,0.337653857955911,0.0704953512973046,0.095792615403805,0,0,0.246547535228027,0,0.234258871880935,0.0290391476706021,0.358375368323698,0,0,0.119492506096844,0,0,0.125814876409306,0,0,1.80455310083071,0,0.942075638211565,0.410744930929946,3.55390150079987
CFB2060,0.00856832555217515,0.120629562510633,0.0447672878487736,0.789908427152595,0,0.201634234477903,0.0177095478241963,0,0.241335821136698,0,0.645412830960793,0.062386478493551,0.711302054295092,0,0,0.0969480184297008,0,0,0.161856326211191,0,0,2.38538170345628,0,0.931114280484356,0.456163531962706,5.48784061834958
CFB2061,0.202593184200726,0.0112948123310531,0.0456625302780199,0.195525784133441,0.23651551081564,0,0.0725233708514502,0,0.174717563112683,0,0.132160425413175,0,0.160624171939571,0,0,0.0689009420126857,0,0,0.144223526564711,0,0,3.83525556186636,0,0.951321792606474,0.320597520669302,5.27999738351952
CFB2071,0.115737703058378,0.117079235217641,0.0525774199902468,0.207442116051418,0.156040743677692,0,0.201236147594041,0,0.0929763916449005,0,0.172796252706268,0,0.176546093185502,0,0,0.045504360613765,0,0.00733961474793275,0.167142882078624,0,0,3.48096618962841,0,0.929037979169073,0.380108662940085,4.99338515019482
CFB2074,0.00848357015671032,0.0919894373936048,0.0245139285716285,0.345370958904335,0.180307668163198,0,0.0260440627589183,0,0.201401289758659,0,0.20123167684892,0.112911391633134,0,0,0,0.126104609125922,0,0,0.185574850652533,0,0,2.56652031193658,0,0.949552616787579,0.352309605943643,4.07045375590414
CFB2075,0.0848144847143763,0.198850952037916,0.0407235656133429,0.357247067867004,0,0.276159596688725,0,0,0.249168462017289,0,0.183325017444158,0.0387805714493483,0.115591734570142,0,0,0.18898710595552,0,0.0113018948708642,0.188340445672795,0,0.0570299011162863,2.77938925179065,0,0.946520919387894,0.377211594099849,4.76971005180841
CFB2082,0.13639501125042,0.0287790274176286,0.0352254939183477,0.335611348776262,0.13679375615204,0.0718984388001573,0,0,0.245951494354551,0,0.148748682322676,0.0665516840165709,0.193690540452577,0,0,0.102787081072005,0,0,0.129065833999013,0,0,1.6399830959673,0,0.937097323538473,0.430056024846624,3.27148148849955
CFB2084,0.156783964512347,0.0759079574098067,0.0454396032760937,0.206608135457428,0.181221197939811,0,0.0141873137542419,0,0.301884610767369,0,0.136752992312502,0.0244915183192995,0.323674587557225,0,0,0.0959141227003612,0,0,0.20678388646202,0,0,3.65175551917821,0,0.92952562233736,0.380782398895189,5.42140540964672
CFB2087,0.09708615101023,0.0465202722002509,0.0345386294687385,0.329774105249417,0.0671639255169699,0.0346429222086301,0,0.0145330915674759,0.183538150295775,0,0.061798106955842,0.0762017722461237,0.182444904850368,0,0,0.129349472294414,0,0.00509854879906311,0.127293899604691,0,0,2.59041190954639,0,0.947739956957992,0.344481173017979,3.98039586181438
CFB2088,0.0391468812001644,0.046859236954243,0.014787700488074,0.161972098790097,0.0266305753714001,0.0317787029725501,0,0.0222310535715891,0.162062468587179,0,0.125772997787713,0.0597654588685238,0.169144009860825,0,0,0.0882047802590483,0,0.00703897671690061,0.111539520149385,0,0,2.23941869849292,0,0.912295623622216,0.418816987114867,3.30635316007061
CFB2098,0.166489093773749,0.02801437732911,0.025186594615646,0.232875892319853,0.106903115443497,0,0.117643207697269,0,0.155620379491795,0,0.215277977272029,0,0.209705325400862,0,0,0.0699742327242576,0,0,0.112953148127184,0,0,3.42541518051679,0,0.952108588213885,0.320815002439812,4.86605852471205
CFB2102,0.0640078311409993,0.0793990644009125,0.0295223368459704,0.0369463557773006,0.0569320215166974,0.0427493748127867,0.0565593929784232,0,0.103708698689733,0,0.150084567996223,0,0.14702130017461,0.0160677729991412,0,0.118884129464603,0,0,0.0915018103824204,0,0,3.02159979695252,0,0.960623502044501,0.290585642380745,4.01498445413234
CFB2105,0.0835055495323333,0.0329797262946895,0.0245820812594692,0.0932202157160614,0.135656183114241,0,0.0022948988902018,0.00378411090529603,0.115837314132096,0,0.0927304846001321,0.0249599740724905,0.0831823976586729,0.0141983170048659,0,0.0906231468597058,0,0,0.115149088770272,0,0,1.8017868713983,0,0.94106992323086,0.357588741794948,2.71449036020883
CFB2108,0,0.0740980016847469,0.0305921956858163,0.102903741872586,0.0525485776540417,0.0511352835751274,0.0131048611087215,0,0.109087494529066,0,0.112301917833281,0,0.146424631256946,0.0172825402285231,0,0.100836620820364,0,0,0.101235768380902,0,0,1.92965848300148,0,0.915645129057252,0.410588002324059,2.84121011763161
