Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
CFB2001,0.0217555443849432,0.019052427941686,0.00907044754688267,0.0294703361290904,0.0293780420924711,0,0.00739573891784966,0.0152460192246322,0,0,0.0439697980516759,0,0,0.0203251804482911,0,0.0355832748624835,0,0.00765746179637175,0.0154964395710467,0,0,0.745599289032576,0,0.900878534394451,0.443652551156961
CFB2007,0.0168232819358785,0.0200934687909579,0.0156642515160234,0.0757296616655362,0.0611782302146989,0.00237624288087933,0,0,0.0569387425445529,0,0.0137473536493076,0.0154250483744589,0.0736063103712656,0,0,0.02168740931262,0,0.000323954252834165,0.0346663854805237,0,0,0.591739659010463,0,0.924682681946228,0.409782589420679
CFB2009,0.0112989885217471,0.0223196255827519,0.0107793883938341,0.118813405331642,0.00766714392394058,0,0.00519688128045428,0,0.0584739967619143,0,0.0356863331364509,0.0081373745329447,0.0406899429354671,0,0,0.0275480714317527,0,0,0.0332987516612733,0,0,0.620090096505827,0,0.948920820626956,0.353625609644272
CFB2013,0,0.0177996815256234,0.00707257603512231,0.062639327782035,0.0514173947905726,0,0,0.00113232680478307,0.0363276309631321,0,0.0181780204985154,0.012595434106376,0.0426959753815164,0.00898506320006844,0,0.0162516731835606,0,0,0.0387822086101166,0,0,0.686122687118578,0,0.919691189404873,0.401789753042482
CFB2022,0.0370340674313283,0.0244680201421131,0.0216541551908375,0.051730932613728,0.0333653555197456,0,0.000849751882159691,0,0.0496503453011972,0,0.0350649693951972,0.0105808729456428,0.0397241886797115,0,0,0.0315595755373308,0,0.0017459646592124,0.0468741017563745,0,0.0112871450693869,0.604410553876034,0,0.902120507213933,0.450964337703332
CFB2039,0.0287066754212546,0.00997601854980009,0.0111073464440832,0.0747251688623716,0.00245364289637714,0.0592929000332574,0,0,0.057534175245876,0,0.027728124449851,0.00262355615020897,0.0811134584715954,0.00479010117063049,0,0.0272726835296439,0,0.000814795760776644,0.0335764468452074,0,0,0.578284906169066,0,0.887981710660732,0.477440038711844
CFB2044,0.0358134987786209,0.0143161245184948,0.00470651261280458,0.111297678173218,0.0707731984409564,0.0471998293674869,0,0,0.0671081200896314,0,0.0478942435816498,0.0121325146572119,0.130444998504687,0,0,0.0278075568511861,0,0.000968443347690336,0.0281573383409755,0,0,0.401379942735387,0,0.914812343761686,0.499115827208708
CFB2045,0.0649435931636801,0,0.00744004750582739,0.0581646487881597,0.051027856570614,0.0506517830859298,0,0,0.0595715605210681,0,0.0204213806863284,0.0158073801476323,0.0386656951290257,0,0,0.0268251625768006,0,0.00498188289202829,0.0331982877978161,0,0,0.56830072113509,0,0.950014922351741,0.374973080782958
CFB2049,0.0332723278211091,0.013727929296706,0.0149483759899292,0.041086233927775,0.0217975663608881,0,0.004751556846502,0,0.0509577944813955,0,0.0464129166535448,0,0,0,0,0.0253021080550941,0,0.00567535654750784,0.0123951768962133,0,0,0.729672657123335,0,0.935193056002894,0.365379318310012
CFB2058,0.018836847445349,0.00849706546259781,0.00659362060082809,0.137025272721313,0.0341875833273013,0,0.016620943132841,0,0.0390162650021962,0.041944533132684,0.0190341072555669,0.0352508276802201,0.0242745426772975,0,0,0.0202098623738126,0,0,0.0436471268331774,0,0,0.554861402354815,0,0.922548317622542,0.431399101876331
